"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"polspline","polspline","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.24",NA,NA,"stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"polyclip","polyclip","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.10-6",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.2.0"
"praise","praise","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"prediction","prediction","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.14",NA,"R (>= 3.5.0)","utils, stats, data.table",NA,"datasets, methods, testthat","AER, aod, betareg, biglm, brglm, caret, crch, e1071, earth,
ff, ffbase, gam (>= 1.15), gee, glmnet, glmx, kernlab, lme4,
MASS, mclogit, mda, mlogit, MNP, nlme, nnet, ordinal, plm,
pscl, quantreg, rpart, sampleSelection, speedglm, survey (>=
3.31-5), survival, truncreg, VGAM","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"prettyunits","prettyunits","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.0",NA,"R(>= 2.10)",NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"prismatic","prismatic","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.1",NA,"R (>= 3.2)","graphics, farver (>= 2.0.1), grDevices",NA,"covr, crayon, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"processx","processx","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.8.3",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.3), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0),
webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"prodlim","prodlim","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2023.08.28",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, data.table, grDevices, graphics,
diagram, survival, KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"productplots","productplots","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.1",NA,NA,"plyr, ggplot2",NA,"reshape2, testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"ProfileLikelihood","ProfileLikelihood","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3",NA,NA,"nlme, MASS",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"profvis","profvis","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.8",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), purrr, rlang (>= 0.4.9), stringr,
vctrs",NA,"knitr, ggplot2, rmarkdown, testthat (>= 3.0.0), devtools,
shiny, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"progress","progress","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.3",NA,"R (>= 3.6)","crayon, hms, prettyunits, R6",NA,"Rcpp, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"progressr","progressr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.14.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, cli, crayon, pbmcapply, progress,
purrr, foreach, plyr, doFuture, future, future.apply, furrr,
RPushbullet, rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"promises","promises","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.1",NA,NA,"fastmap (>= 1.1.0), later, magrittr (>= 1.5), R6, Rcpp, rlang,
stats","later, Rcpp","future (>= 1.21.0), knitr, purrr, rmarkdown, spelling,
testthat, vembedr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"protolite","protolite","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3.0",NA,NA,"Rcpp (>= 0.12.12), jsonlite","Rcpp","spelling, curl, testthat, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"proxy","proxy","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"ps","ps","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7.6",NA,"R (>= 3.4)","utils",NA,"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"pscl","pscl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.9",NA,NA,"MASS, datasets, grDevices, graphics, stats, utils",NA,"lattice, MCMCpack, car, lmtest, sandwich, zoo, coda, vcd,
mvtnorm, mgcv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.1"
"psych","psych","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.4.1",NA,NA,"mnormt,parallel,stats,graphics,grDevices,methods,lattice,nlme",NA,"psychTools, GPArotation, lavaan, lme4, Rcsdp, graph, knitr,
Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"purrr","purrr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.2",NA,"R (>= 3.5.0)","cli (>= 3.6.1), lifecycle (>= 1.0.3), magrittr (>= 1.5.0),
rlang (>= 1.1.1), vctrs (>= 0.6.3)","cli","covr, dplyr (>= 0.7.8), httr, knitr, lubridate, rmarkdown,
testthat (>= 3.0.0), tibble, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"qdap","qdap","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.4.6",NA,"R (>= 3.1.0), qdapDictionaries (>= 1.0.2), qdapRegex (>=
0.1.2), qdapTools (>= 1.3.1), RColorBrewer","chron, dplyr (>= 0.3), gender (>= 0.5.1), ggplot2 (>= 2.1.0),
grid, gridExtra, igraph, methods, NLP, openNLP (>= 0.2-1),
openxlsx, parallel, plotrix, RCurl, reshape2, scales,
stringdist, tidyr, tm (>= 0.7.6), tools, utils, venneuler,
wordcloud, XML",NA,"koRpus, knitr, lda, proxy, stringi, SnowballC, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"qdapDictionaries","qdapDictionaries","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.7",NA,"R (>= 3.0.0)","methods, utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"qdapRegex","qdapRegex","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.7.8",NA,"R (>= 3.5.0)","stringi (>= 0.5-5)",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"qdapTools","qdapTools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.7",NA,"R (>= 3.0.0)","chron, data.table (>= 1.9.6), methods, RCurl, XML",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"qpdf","qpdf","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.2",NA,NA,"Rcpp, askpass, curl","Rcpp","testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.2.0"
"qrcode","qrcode","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.2",NA,"R (>= 4.1.0)","assertthat, stats, utils",NA,"httr, jpeg, knitr, opencv, png, rsvg, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"quadprog","quadprog","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5-8",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"Quandl","Quandl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.11.0",NA,"R (>= 2.15.0), xts","httr (>= 0.6.1), zoo, jsonlite (>= 0.9.14)",NA,"testthat (>= 0.10.0), roxygen2, timeSeries",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"quantmod","quantmod","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.25",NA,"R (>= 3.2.0), xts(>= 0.9-0), zoo, TTR(>= 0.2), methods","curl, jsonlite(>= 1.1)",NA,"DBI,RMySQL,RSQLite,timeSeries,xml2,downloader",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"quantreg","quantreg","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","5.97",NA,"R (>= 3.5), stats, SparseM","methods, graphics, Matrix, MatrixModels, survival, MASS",NA,"interp, rgl, logspline, nor1mix, Formula, zoo, R.rsp, conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"qvcalc","qvcalc","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.3",NA,NA,NA,NA,"relimp, MASS","psychotools, survival","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"R.methodsS3","R.methodsS3","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8.2",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"R.oo","R.oo","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.26.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.2)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.1"
"R.utils","R.utils","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.12.3",NA,"R (>= 2.14.0), R.oo","methods, utils, tools, R.methodsS3",NA,"datasets, digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"R6","R6","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ragg","ragg","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.7",NA,NA,"systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping","covr, graphics, grid, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rapidjsonr","rapidjsonr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.0",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rappdirs","rappdirs","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"raster","raster","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.6-26",NA,"sp (>= 1.4-5), R (>= 3.5.0)","Rcpp, methods, terra (>= 1.7-29)","Rcpp","ncdf4, igraph, tcltk, parallel, rasterVis, MASS, sf,
tinytest, gstat, fields, exactextractr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"rayimage","rayimage","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.10.0",NA,"R (>= 4.1.0)","Rcpp, png, jpeg, grDevices, grid","Rcpp, RcppArmadillo, progress","magick, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"rayrender","rayrender","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.31.2",NA,"R (>= 3.0.2)","Rcpp (>= 1.0.0), parallel, magrittr, purrr, png, raster,
decido, rayimage (>= 0.10.0), stats, progress, rayvertex (>=
0.10.2)","Rcpp, RcppThread, progress, spacefillr (>= 0.3.0)","sf, spData, dplyr, Rvcg, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"rayshader","rayshader","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.35.7",NA,"R (>= 4.1)","doParallel, foreach, Rcpp, progress, raster, scales, png,
jpeg, magrittr, rgl (>= 0.110.7), grDevices, grid, utils,
methods, terrainmeshr, rayimage (>= 0.9.0), rayvertex (>=
0.7.6), rayrender (>= 0.29.6)","Rcpp, progress, RcppArmadillo","reshape2, viridis, av, magick, ggplot2, sf, isoband, car (>=
3.1-1), geosphere, gifski, ambient, terra, lidR, elevatr,
gridExtra, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"rayvertex","rayvertex","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.10.4",NA,"R (>= 4.1)","Rcpp (>= 1.0.6), grDevices, rayimage (>= 0.10.0), png, digest","Rcpp, spacefillr, RcppThread, rayimage","Rvcg, magick, raster, testthat (>= 3.0.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"rcmdcheck","rcmdcheck","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"RColorBrewer","RColorBrewer","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.2.0"
"Rcpp","Rcpp","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.12",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"RcppArmadillo","RcppArmadillo","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.12.6.6.1",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RcppEigen","RcppEigen","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.3.9.4",NA,"R (>= 3.6.0)","Rcpp (>= 0.11.0), stats, utils","Rcpp","Matrix, inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"RcppRoll","RcppRoll","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.0",NA,"R (>= 2.15.1)","Rcpp","Rcpp","zoo, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"RcppThread","RcppThread","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.6",NA,"R (>= 3.3.0)",NA,NA,"testthat, R.rsp, Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"RCurl","RCurl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.98-1.14",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"reactable","reactable","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.4",NA,"R (>= 3.1)","digest, htmltools (>= 0.5.2), htmlwidgets (>= 1.5.3),
jsonlite, reactR",NA,"covr, crosstalk, dplyr, fontawesome, knitr, leaflet, MASS,
rmarkdown, shiny, sparkline, testthat, tippy, V8",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"reactR","reactR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.0",NA,NA,"htmltools",NA,"htmlwidgets (>= 1.5.3), rmarkdown, shiny, V8, knitr, usethis,
jsonlite",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"readr","readr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.5",NA,"R (>= 3.6)","cli (>= 3.2.0), clipr, crayon, hms (>= 0.4.1), lifecycle (>=
0.2.0), methods, R6, rlang, tibble, utils, vroom (>= 1.6.0)","cpp11, tzdb (>= 0.1.1)","covr, curl, datasets, knitr, rmarkdown, spelling, stringi,
testthat (>= 3.2.0), tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"readstata13","readstata13","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.10.1",NA,NA,"Rcpp (>= 0.11.5)","Rcpp","testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"readxl","readxl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.3",NA,"R (>= 3.6)","cellranger, tibble (>= 2.0.1), utils","cpp11 (>= 0.4.0), progress","covr, knitr, rmarkdown, testthat (>= 3.1.6), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"recipes","recipes","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.9",NA,"dplyr (>= 1.1.0), R (>= 3.6)","cli, clock (>= 0.6.1), ellipsis, generics (>= 0.1.2), glue,
gower, hardhat (>= 1.3.0), ipred (>= 0.9-12), lifecycle (>=
1.0.3), lubridate (>= 1.8.0), magrittr, Matrix, purrr (>=
1.0.0), rlang (>= 1.1.0), stats, tibble, tidyr (>= 1.0.0),
tidyselect (>= 1.2.0), timeDate, utils, vctrs (>= 0.5.0), withr",NA,"covr, ddalpha, dials (>= 1.2.0), ggplot2, igraph, kernlab,
knitr, modeldata (>= 0.1.1), parsnip (>= 0.1.7), RANN,
RcppRoll, rmarkdown, rpart, rsample, RSpectra, splines2,
testthat (>= 3.0.0), workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"relimp","relimp","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0-5",NA,"R (>= 2.0.0)","stats, utils",NA,"tcltk, nnet, MASS, Rcmdr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"rematch","rematch","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.0",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rematch2","rematch2","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"remotes","remotes","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.4.2.1",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"renderthis","renderthis","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.0",NA,"R (>= 3.4.0)","cli (>= 3.0.0), digest, fs, jsonlite, magick (>= 2.7.1),
pagedown, progress, rmarkdown, withr, xaringan, zip",NA,"av, chromote, knitr, lifecycle, officer, pdftools, testthat
(>= 3.0.0), webshot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"renv","renv","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.3",NA,NA,"utils",NA,"BiocManager, cli, covr, cpp11, devtools, gitcreds, jsonlite,
knitr, miniUI, packrat, pak, R6, remotes, reticulate,
rmarkdown, rstudioapi, shiny, testthat, uuid, waldo, yaml,
webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"reprex","reprex","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.0",NA,"R (>= 3.6)","callr (>= 3.6.0), cli (>= 3.2.0), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), lifecycle, rlang (>= 1.0.0), rmarkdown,
rstudioapi, utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"reshape","reshape","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.8.9",NA,"R (>= 2.6.1)","plyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"reshape2","reshape2","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rgdal","rgdal","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5-30",NA,"R (>= 3.5.0), methods, sp (>= 1.1-0)","grDevices, graphics, stats, utils","sp","knitr, DBI, RSQLite, maptools, mapview, rmarkdown, curl,
rgeos",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"rgeos","rgeos","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5-9",NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","utils, stats, graphics","sp","maptools (>= 0.8-5), testthat, XML, maps, rgdal",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"rgl","rgl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.8",NA,"R (>= 3.3.0)","graphics, grDevices, stats, utils, htmlwidgets (>= 1.6.0),
htmltools, knitr (>= 1.33), jsonlite (>= 0.9.20), magrittr, R6,
base64enc, mime",NA,"MASS, rmarkdown (>= 2.16), deldir (>= 1.0-4), orientlib,
lattice, misc3d, magick, plotrix (>= 3.7-3), tripack, interp,
alphashape3d, tcltk, js (>= 1.2), webshot2 (>= 0.1.0), downlit
(>= 0.4.0), pkgdown (>= 2.0.0), extrafont, shiny,
manipulateWidget (>= 0.9.0), testthat, markdown, crosstalk, V8,
chromote, jpeg, png","waldo","GPL",NA,NA,NA,NA,"yes","4.2.0"
"RgoogleMaps","RgoogleMaps","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.1",NA,"R (>= 2.10)","graphics, stats, utils, grDevices, methods, png",NA,"PBSmapping, RColorBrewer, leaflet, jpeg, RCurl",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"riingo","riingo","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.1",NA,"R (>= 2.10)","crayon (>= 1.3.4), glue (>= 1.3.1), httr (>= 1.3.1), jsonlite
(>= 1.5), purrr (>= 0.2.4), rlang (>= 0.2.0), tibble (>=
1.4.2), vctrs (>= 0.3.0)",NA,"covr, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rio","rio","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.1",NA,"R (>= 3.6)","tools, stats, utils, foreign, haven (>= 1.1.2), curl (>= 0.6),
data.table (>= 1.11.2), readxl (>= 0.1.1), tibble, stringi,
writexl, lifecycle, R.utils",NA,"datasets, bit64, testthat, knitr, magrittr, clipr, fst,
hexView, jsonlite, pzfx, readODS (>= 2.1.0), readr, rmarkdown,
rmatio, xml2 (>= 1.2.0), yaml, qs, arrow (>= 0.17.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"rJava","rJava","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0-6",NA,"R (>= 3.6.0), methods",NA,NA,NA,NA,"LGPL-2.1",NA,NA,NA,NA,"yes","4.2.0"
"rjson","rjson","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.21",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"RJSONIO","RJSONIO","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3-1.9",NA,NA,"methods",NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rlang","rlang","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.3",NA,"R (>= 3.5.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"rmapshaper","rmapshaper","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.0",NA,NA,"methods, geojsonsf (>= 2.0.2), jsonify (>= 1.2.0), readr (>=
2.1.0), sf (>= 1.0.0), sp (>= 1.4-0), V8 (>= 4.0.0)",NA,"knitr, magrittr, rmarkdown, testthat (>= 3.0.0), jsonlite,
covr, units, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rmarkdown","rmarkdown","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.25",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), fontawesome (>=
0.5.0), htmltools (>= 0.5.1), jquerylib, jsonlite, knitr (>=
1.22), methods, stringr (>= 1.2.0), tinytex (>= 0.31), tools,
utils, xfun (>= 0.36), yaml (>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, vctrs, cleanrmd, withr (>= 2.4.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"Rmpfr","Rmpfr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.8-9",NA,"gmp (>= 0.6-1), R (>= 3.5.0)","stats, utils, methods",NA,"MASS, Bessel, polynom, sfsmisc (>= 1.0-20), Matrix","dfoptim, pracma","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"rms","rms","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","6.7-1",NA,"R (>= 3.5.0), Hmisc (>= 5.1-0)","methods, survival, quantreg, ggplot2, SparseM, rpart, nlme (>=
3.1-123), polspline, multcomp, htmlTable (>= 1.11.0),
htmltools, MASS, cluster, digest, colorspace, knitr, grDevices",NA,"boot, tcltk, plotly (>= 4.5.6), mice, rmsb, nnet, VGAM,
lattice, kableExtra",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"rnaturalearth","rnaturalearth","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.1",NA,"R (>= 3.1.1)","httr (>= 1.1.0), jsonlite, sf (>= 0.3-4), terra, utils (>=
3.2.3)",NA,"devtools (>= 1.10.0), dplyr, ggplot2, ggrepel, knitr (>=
1.12.3), lifecycle (>= 1.0.3), pbapply, purrr, rlang,
rmarkdown, rnaturalearthdata (>= 0.1.0), rnaturalearthhires (>=
0.1.0), testthat (>= 0.9.1), tmap",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
